ananas mrożony,0.00,0.01,0.14,0.63
Ananas plastry w lekkim syropiw Nasza Spiżarnia,0.00,0.00,0.16,0.67
banan,0.00,0.01,0.22,0.97
brokuł mrożony,0.00,0.02,0.05,0.15
bułka tarta,0.03,0.13,0.70,3.68
chleb PIEKARNIA DLA CIEBIE,0.01,0.08,0.49,2.45
chleb pszenno-żytni wypieczone ze smakiem 900 g,0.01,0.07,0.47,2.31
Chleb Stołowy,0.03,0.09,0.46,2.53
chleb żytnia biedronka (1 kromka = 32.5 g),0.07,0.05,0.31,2.29
filet z kurczaka,0.01,0.22,0.00,0.98
Filet z makreli w sosie pomidorowym (puszka netto 170 g),0.15,0.10,0.05,1.96
Fix Knorr 4 sery + brokuły,0.28,0.12,0.44,4.77
Flora Original,0.45,0.01,0.01,3.98
Frankfurterki wędzone Kraina Wędlin,0.25,0.16,0.05,3.26
jabłko,0.00,0.00,0.10,0.50
jajko gotowane (kl. L 1 szt = 56 g),0.10,0.13,0.01,1.40
kapusta biała,0.00,0.02,0.05,0.33
kaszanka,0.13,0.09,0.13,1.95
kiełbasa krakowska parzona kraina wędlin,0.04,0.18,0.02,1.15
kiełkaski śląskie z szynki Kraina Wędlin,0.19,0.17,0.02,2.45
kotlety sojowe smażone,0.20,0.19,0.21,3.19
kotlety sojowe surowe,0.01,0.45,0.24,3.21
kurczak curry z mlekiem kokosowym,0.10,0.11,0.11,1.78
majonez Winiary (na 100 ml - jedna łyżka 15 ml),0.76,0.02,0.03,7.04
makaron tagiatelle,0.02,0.12,0.73,3.64
mango mrożone,0.00,0.01,0.14,0.77
maślanka,0.02,0.03,0.05,0.47
mięso mielone wieprzowo wołowe Biedronka,0.13,0.19,0.00,1.88
mięso mielone z łopatki wieprzowej Biedronka,0.15,0.19,0.00,2.12
mleko kokosowe,0.18,0.01,0.02,1.69
olej rzepakowy,0.92,0.00,0.00,8.28
PAPIRUS z kurczakiem,0.03,0.21,0.01,1.12
parówki wędzone z kurcząt  BIEDRONKA (1 szt = 62.5 g),0.19,0.13,0.02,2.33
płatki jęczmienne (suche),0.04,0.11,0.70,3.70
płatki owsiane błyskawiczne,0.06,0.13,0.60,3.63
pomarańcza,0.00,0.01,0.09,0.47
Rama Classic,0.60,0.00,0.00,5.32
ryż biały długoziarnisty (suchy),0.01,0.08,0.78,3.53
ryż brązowy długoziarnisty,0.02,0.08,0.75,3.41
ser żółty światowid BIEDRONKA (1 plaster = 13.9 g),0.26,0.24,0.00,3.30
serek do smarowania Delikate,0.22,0.08,0.04,2.45
serek wiejski Krasnystaw 200 g,0.05,0.11,0.02,0.97
Słonecznik łuskany Mix Tentor,0.45,0.18,0.22,5.56
Szprot w sosie pomidorowym Marinero,0.08,0.11,0.05,1.34
szynka konserwowa kraina wędlin (1 plasterek = 14.25 g),0.02,0.19,0.01,0.99
Szynka zawędzana KRAINA WĘDLIN,0.02,0.18,0.03,1.02
śmietana 12% Mleczna Dolina,0.12,0.03,0.04,1.34
śmietana 18% Bieluch,0.18,0.03,0.04,1.86
tagiatelle 4 sery i brokuły,1.73,0.77,2.75,1.55
TopChips paprykowe,0.35,0.06,0.48,5.37
truskawki mrożone,0.00,0.00,0.07,0.35
twaróg półtłusty,0.04,0.14,0.04,1.14
vitanella mleko i zboża,0.12,0.08,0.71,4.37
warzywa na patelnie po grecku (Biedronka),0.01,0.02,0.09,0.50
warzywa na patelnie po włosku (Biedronka),0.01,0.02,0.04,0.34
warzywa na patelnie z ziemniakami (Biedronka),0.01,0.02,0.12,0.66
ziemniaki gotowane,0.00,0.02,0.15,0.71
